id~product
08701149-3c5d-4134-be29-15fa1b1fb55d~"Dining Chair, Set of 4"
6de89f99-e638-4b39-aa04-aa1f893c33ec~"Smartphone, Android"
452127da-c281-4d73-8e89-15366d16e9af~"Gaming Mouse, RGB"
5ed4f5f1-5015-4a90-a480-c5193d5ee113~"Outdoor Grill, Charcoal"
a9f035cb-e3ae-4e6f-b2e7-31680dc98dd4~"Microwave Oven, Stainless Steel"
39422615-9f46-4959-a5ee-72dc6cc2f5b4~"Desk Chair, Leather"
3acbb5ef-0c9a-4702-939e-6b4a4e62916b~"Dining Table Set, Oak"
16f8aeef-3a58-4057-8aef-ec16f597fff0~"Smart Speaker, Bluetooth"
548408f0-378b-4726-990e-d0aa1081b017~"Air Purifier, HEPA Filter"
42e6fc3a-c30b-4572-b31c-456c438793e0~"Vacuum Cleaner, Cordless"
7717cc8c-078e-4355-bbc1-4541f3d6f19c~"Fitness Tracker, Black"
b3b8022b-d166-415e-99c1-24f677c86116~"Kitchen Blender, Silver"
351429eb-e22e-46a4-ba06-2ed92a271a82~"SAFCO Executive Leather Armchair, Black"
22267782-7f83-4580-bb2f-c60c184616d9~"Air Conditioner, 10,000 BTU"
1e8e38c9-f86e-4ff6-8af9-c73c9eaaad5b~"Couch, L-Shaped, Gray"
2c2bcbdb-a5a1-476c-8aba-d9dd40e81b7b~"Digital Camera, Canon"
07b67eb8-3fdc-4214-8683-d2a682f391f7~"Wooden Coffee Table, Oak"
88684fff-5937-4232-9f10-3b21ef60fa44~"Bookshelf, Cherry Wood"
75a1c234-d7e6-4c36-8294-da9e740926a6~"Luggage Set, 3-Piece"
6eb73467-13ba-4f5b-b547-0826b3318323~"Monitor, 27-inch"
39b05ab4-63b7-4794-9130-c3206a2977ef~"Wall Clock, Vintage Style"
1fb25bd9-8799-4f66-a3b6-7f3dd66c9aa7~"LED TV, 55-inch"
bf78b782-bfc6-4bd5-9f36-1374f2da03b3~"Coffee Grinder, Electric"
5238c701-8338-4b29-877e-c630f1c13563~"Smartwatch, Fitness Tracker"
44414355-e48b-41a3-a571-04da481a3ac8~"Printer, Laserjet"
47b3ca7d-c0cb-4410-a1e3-f2d3226eef2d~"Bluetooth Headphones, Black"
41f97ecb-8217-4ace-9e8c-324a73d6fcfc~"Shoe Rack, Wooden"
1c04a0b4-f9a9-45c5-8a5a-0f9a3c36257b~"Coffee Maker, Black"
d1432747-e2d8-4687-99e4-76fa7ed5c193~"Washing Machine, Front Load"
78f50672-028f-4933-8987-3a9243196edd~"Wireless Keyboard, Black"
c2e555ae-3014-413c-9398-ce6ba1b4b6b5~"Tablet, Samsung Galaxy"
989ff76b-5727-4c68-98e3-4bf7d1411857~"Pressure Cooker, Stainless Steel"
9758f5a0-117b-4896-993e-01fa662bb614~"Office Desk, White"
440c79c7-ec44-414a-951e-967723e518a9~"Bicycle, Mountain Bike"
40d8a78a-913a-4e0f-b2a0-3c79161fe593~"Toaster Oven, Stainless Steel"
b1a7c09b-e596-46d0-a683-c80406b8115d~"Bike Helmet, Adult"
cb63b8b6-7493-44e5-bf28-5134a8c298f7~"Desk Lamp, LED"
f243ea19-5566-45a2-bf96-a4465457c99b~"Blender, Multifunctional"
0a59dcaa-7ee9-416b-b403-26cabd70ce57~"Laptop, MacBook Pro"
e716eb80-10ad-4d3a-8a80-99ce8fb18911~"Wireless Mouse, Black"
31d663e8-b759-494a-bb82-da86c1a9ee2f~"Cookware Set, Stainless Steel"
264cc479-d162-48f0-a83c-64865aebb6e2~"Refrigerator, Stainless Steel"
7d28ba00-d15d-495b-b400-ff2642ec6961~"Bathroom Scale, Digital"
cd0bf7e7-a1e8-4bf2-b2bd-0bb4c082b8cb~"Gaming Console, Xbox Series X"
25a17c0a-6fb5-4aa9-bf6f-8927e74d4753~"Shower Curtain, Waterproof"
